game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit
2023-10-24,GSW,PHX,0.6155,-148.0,124.0,False,,,,0.0,,0,,
2023-10-24,DEN,LAL,0.5498,-192.0,160.0,False,,,,0.0,,1,,
2023-10-25,LAC,POR,0.8001,-580.0,380.0,False,,,,0.0,,1,,
2023-10-25,ORL,HOU,0.5965,-210.0,160.0,False,,,,0.0,,1,,
2023-10-25,CHA,ATL,0.3412,164.0,-198.0,False,,,,0.0,,1,,
2023-10-25,SAS,DAL,0.3245,140.0,-180.0,False,,,,0.0,,0,,
2023-10-25,IND,WAS,0.454,-200.0,154.0,True,WAS,17.47,154.0,3.0,0.3869,1,0.0,-1.0
2023-10-25,MEM,NOP,0.5607,-120.0,-110.0,False,,,,0.0,,0,,
2023-10-25,TOR,MIN,0.6433,-125.0,-105.0,False,,,,0.0,,1,,
2023-10-25,CHI,OKC,0.5754,-140.0,110.0,False,,,,0.0,,0,,
2023-10-25,BKN,CLE,0.4701,-110.0,-120.0,False,,,,0.0,,0,,
2023-10-25,NYK,BOS,0.4914,130.0,-166.0,False,,,,0.0,,0,,
2023-10-25,UTA,SAC,0.3925,100.0,-130.0,False,,,,0.0,,0,,
2023-10-25,MIA,DET,0.8413,-475.0,325.0,False,,,,0.0,,1,,
2023-10-26,MIL,PHI,0.5636,-230.0,175.0,False,,,,0.0,,1,,
2023-10-26,LAL,PHX,0.5089,-250.0,205.0,True,PHX,17.65,205.0,3.0,0.4977,1,0.0,-1.0
2023-10-27,CHI,TOR,0.5344,-135.0,114.0,False,,,,0.0,,1,,
2023-10-27,BOS,MIA,0.842,-375.0,270.0,False,,,,0.0,,1,,
2023-10-27,SAS,HOU,0.4923,-155.0,130.0,False,,,,0.0,,1,,
2023-10-27,MEM,DEN,0.5549,185.0,-225.0,True,MEM,21.85,185.0,3.0,0.5814,0,0.0,-1.0
2023-10-27,CLE,OKC,0.5885,-135.0,114.0,False,,,,0.0,,0,,
2023-10-27,ATL,NYK,0.4849,-110.0,-120.0,False,,,,0.0,,0,,
2023-10-27,SAC,GSW,0.5067,-162.0,136.0,False,,,,0.0,,0,,
2023-10-27,DAL,BKN,0.4708,-270.0,200.0,True,BKN,21.56,200.0,3.0,0.5875,1,0.0,-1.0
2023-10-27,UTA,LAC,0.3871,145.0,-175.0,False,,,,0.0,,1,,
2023-10-27,POR,ORL,0.2041,120.0,-150.0,False,,,,0.0,,0,,
2023-10-27,CHA,DET,0.6363,-180.0,150.0,False,,,,0.0,,0,,
2023-10-28,DET,CHI,0.2217,114.0,-145.0,False,,,,0.0,,1,,
2023-10-28,PHX,UTA,0.8083,-218.0,180.0,False,,,,0.0,,1,,
2023-10-28,TOR,PHI,0.4942,164.0,-198.0,False,,,,0.0,,0,,
2023-10-28,MIN,MIA,0.5303,-340.0,270.0,True,MIA,21.06,270.0,3.0,0.7381,1,0.0,-1.0
2023-10-28,CLE,IND,0.6471,124.0,-148.0,False,,,,0.0,,0,,
2023-10-28,NOP,NYK,0.6899,-140.0,110.0,False,,,,0.0,,1,,
2023-10-28,WAS,MEM,0.433,-115.0,-115.0,False,,,,0.0,,1,,
2023-10-29,MIL,ATL,0.6575,-250.0,190.0,False,,,,0.0,,0,,
2023-10-29,SAC,LAL,0.5271,-130.0,110.0,False,,,,0.0,,1,,
2023-10-29,PHI,POR,0.8277,-500.0,340.0,False,,,,0.0,,1,,
2023-10-29,HOU,GSW,0.2146,200.0,-270.0,False,,,,0.0,,0,,
2023-10-29,OKC,DEN,0.5329,140.0,-166.0,False,,,,0.0,,0,,
2023-10-29,LAC,SAS,0.7811,-445.0,310.0,False,,,,0.0,,1,,
2023-10-30,ATL,MIN,0.5143,114.0,-135.0,False,,,,0.0,,1,,
2023-10-30,MIL,MIA,0.6298,-298.0,240.0,False,,,,0.0,,1,,
2023-10-30,DEN,UTA,0.7378,-360.0,285.0,False,,,,0.0,,1,,
2023-10-30,OKC,DET,0.7863,-265.0,215.0,False,,,,0.0,,1,,
2023-10-30,TOR,POR,0.8496,-410.0,320.0,False,,,,0.0,,0,,
2023-10-30,MEM,DAL,0.562,-125.0,105.0,False,,,,0.0,,0,,
2023-10-30,WAS,BOS,0.3594,390.0,-520.0,True,WAS,16.37,390.0,3.0,0.761,0,0.0,-1.0
2023-10-30,CHA,BKN,0.4117,-105.0,-115.0,False,,,,0.0,,0,,
2023-10-30,IND,CHI,0.4709,-162.0,136.0,False,,,,0.0,,0,,
2023-10-30,LAL,ORL,0.5559,-180.0,150.0,False,,,,0.0,,1,,
2023-10-30,NOP,GSW,0.6251,-142.0,120.0,False,,,,0.0,,0,,
2023-10-31,LAC,ORL,0.7494,-250.0,205.0,False,,,,0.0,,1,,
2023-10-31,CLE,NYK,0.5272,110.0,-130.0,False,,,,0.0,,0,,
2023-10-31,PHX,SAS,0.825,-285.0,230.0,False,,,,0.0,,0,,
2023-11-01,MIN,DEN,0.4923,114.0,-135.0,False,,,,0.0,,1,,
2023-11-01,MIA,BKN,0.5157,-250.0,190.0,True,BKN,15.87,190.0,3.0,0.4045,0,1.0,1.9
2023-11-01,DAL,CHI,0.4286,-162.0,136.0,False,,,,0.0,,1,,
2023-11-01,OKC,NOP,0.5894,-160.0,124.0,False,,,,0.0,,0,,
2023-11-01,ATL,WAS,0.6204,-425.0,330.0,True,WAS,15.64,330.0,3.0,0.6323,1,0.0,-1.0
2023-11-01,DET,POR,0.4948,-162.0,136.0,False,,,,0.0,,0,,
2023-11-01,HOU,CHA,0.4313,-148.0,124.0,False,,,,0.0,,1,,
2023-11-01,TOR,MIL,0.52,154.0,-185.0,False,,,,0.0,,1,,
2023-11-01,NYK,CLE,0.5577,-218.0,180.0,False,,,,0.0,,0,,
2023-11-01,BOS,IND,0.8217,-800.0,550.0,False,,,,0.0,,1,,
2023-11-01,UTA,MEM,0.4694,-135.0,114.0,False,,,,0.0,,1,,
2023-11-01,LAL,LAC,0.6605,-145.0,114.0,False,,,,0.0,,1,,
2023-11-01,GSW,SAC,0.6306,-265.0,215.0,False,,,,0.0,,1,,
2023-11-02,PHX,SAS,0.7942,-500.0,340.0,False,,,,0.0,,0,,
2023-11-02,NOP,DET,0.8325,-200.0,154.0,False,,,,0.0,,1,,
2023-11-02,PHI,TOR,0.6876,-278.0,225.0,False,,,,0.0,,1,,
2023-11-02,UTA,ORL,0.4738,-105.0,-125.0,False,,,,0.0,,0,,
2023-11-03,OKC,GSW,0.5201,200.0,-245.0,True,OKC,20.07,200.0,3.0,0.5604,0,0.0,-1.0
2023-11-03,DEN,DAL,0.5785,-195.0,150.0,False,,,,0.0,,1,,
2023-11-03,MIA,WAS,0.5876,-375.0,270.0,True,WAS,15.73,270.0,3.0,0.5258,1,0.0,-1.0
2023-11-03,IND,CLE,0.4192,114.0,-135.0,False,,,,0.0,,1,,
2023-11-03,POR,MEM,0.2,140.0,-166.0,False,,,,0.0,,1,,
2023-11-03,MIL,NYK,0.5571,-198.0,164.0,False,,,,0.0,,1,,
2023-11-03,CHI,BKN,0.5337,-175.0,145.0,False,,,,0.0,,0,,
2023-11-04,HOU,SAC,0.2634,120.0,-142.0,False,,,,0.0,,1,,
2023-11-04,MIN,UTA,0.6409,-325.0,260.0,False,,,,0.0,,1,,
2023-11-04,NOP,ATL,0.5454,-122.0,102.0,False,,,,0.0,,0,,
2023-11-04,IND,CHA,0.5035,-245.0,185.0,True,CHA,16.58,185.0,3.0,0.4151,0,1.0,1.85
2023-11-04,DEN,CHI,0.7465,-380.0,300.0,False,,,,0.0,,1,,
2023-11-04,ORL,LAL,0.4483,136.0,-162.0,False,,,,0.0,,1,,
2023-11-04,PHI,PHX,0.6387,-245.0,200.0,False,,,,0.0,,1,,
2023-11-04,BKN,BOS,0.3587,370.0,-485.0,True,BKN,15.45,370.0,3.0,0.6861,0,0.0,-1.0
2023-11-05,CLE,GSW,0.5165,-120.0,100.0,False,,,,0.0,,1,,
2023-11-05,SAS,TOR,0.4007,154.0,-185.0,False,,,,0.0,,0,,
2023-11-05,DET,PHX,0.4203,136.0,-162.0,False,,,,0.0,,0,,
2023-11-05,POR,MEM,0.2135,100.0,-130.0,False,,,,0.0,,0,,
2023-11-05,DAL,CHA,0.6229,-600.0,440.0,True,CHA,19.95,440.0,3.0,1.0365,1,0.0,-1.0
2023-11-06,CHI,UTA,0.5765,-375.0,270.0,True,UTA,16.85,270.0,3.0,0.567,1,0.0,-1.0
2023-11-06,DET,GSW,0.2491,280.0,-355.0,False,,,,0.0,,0,,
2023-11-06,NYK,LAC,0.509,-120.0,-110.0,False,,,,0.0,,1,,
2023-11-06,DEN,NOP,0.6528,150.0,-195.0,True,DEN,27.58,150.0,3.0,0.6321,1,1.0,1.5
2023-11-06,PHI,WAS,0.8196,-520.0,390.0,False,,,,0.0,,1,,
2023-11-06,MIA,LAL,0.5174,-125.0,-105.0,False,,,,0.0,,1,,
2023-11-06,ORL,DAL,0.5481,-105.0,-115.0,False,,,,0.0,,0,,
2023-11-06,IND,SAS,0.5889,-355.0,280.0,True,SAS,15.89,280.0,3.0,0.5621,1,0.0,-1.0
2023-11-06,BKN,MIL,0.4671,120.0,-150.0,False,,,,0.0,,0,,
2023-11-06,HOU,SAC,0.3269,-190.0,145.0,True,SAC,28.92,145.0,3.0,0.649,1,0.0,-1.0
2023-11-06,MIN,BOS,0.4731,130.0,-166.0,False,,,,0.0,,1,,
2023-11-06,OKC,ATL,0.5282,-145.0,114.0,False,,,,0.0,,1,,
2023-11-08,HOU,LAL,0.2912,102.0,-122.0,False,,,,0.0,,1,,
2023-11-08,SAC,POR,0.6854,-325.0,260.0,False,,,,0.0,,1,,
2023-11-08,PHI,BOS,0.4807,124.0,-148.0,False,,,,0.0,,1,,
2023-11-08,DAL,TOR,0.5436,-170.0,142.0,False,,,,0.0,,0,,
2023-11-08,MIN,NOP,0.6068,-355.0,280.0,False,,,,0.0,,1,,
2023-11-08,MIL,DET,0.8485,-600.0,440.0,False,,,,0.0,,1,,
2023-11-08,CHA,WAS,0.4904,-122.0,102.0,False,,,,0.0,,0,,
2023-11-08,CHI,PHX,0.3794,-105.0,-115.0,False,,,,0.0,,0,,
2023-11-08,MEM,MIA,0.6992,105.0,-125.0,False,,,,0.0,,0,,
2023-11-08,OKC,CLE,0.5271,110.0,-130.0,False,,,,0.0,,1,,
2023-11-08,NYK,SAS,0.6956,-360.0,260.0,False,,,,0.0,,1,,
2023-11-08,DEN,GSW,0.5668,-195.0,150.0,False,,,,0.0,,1,,
2023-11-08,IND,UTA,0.6388,-225.0,185.0,False,,,,0.0,,1,,
2023-11-08,BKN,LAC,0.4988,180.0,-218.0,True,BKN,15.62,180.0,3.0,0.3966,1,1.0,1.8
2023-11-09,ORL,ATL,0.4879,120.0,-150.0,False,,,,0.0,,0,,
