game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit
2021-10-19,LAL,GSW,0.4748,1200.0,-3200.0,False,,,,0.0,,0,,
2021-10-19,MIL,BKN,0.5132,-4000.0,1400.0,False,,,,0.0,,1,,
2021-10-20,TOR,WAS,0.3589,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-20,SAS,ORL,0.7138,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-20,NYK,BOS,0.6955,135.0,-165.0,False,,,,0.0,,1,,
2021-10-20,MEM,CLE,0.9021,-3200.0,1200.0,False,,,,0.0,,1,,
2021-10-20,CHA,IND,0.4398,140.0,-170.0,False,,,,0.0,,1,,
2021-10-20,PHX,DEN,0.4452,900.0,-2000.0,False,,,,0.0,,0,,
2021-10-20,DET,CHI,0.3235,175.0,-225.0,False,,,,0.0,,0,,
2021-10-20,POR,SAC,0.6092,1100.0,-2800.0,False,,,,0.0,,0,,
2021-10-20,MIN,HOU,0.767,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-20,NOP,PHI,0.3173,1600.0,-5000.0,False,,,,0.0,,0,,
2021-10-20,UTA,OKC,0.8615,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-21,GSW,LAC,0.505,-280.0,210.0,True,LAC,19.05,210.0,3.0,0.5344,1,0.0,-1.0
2021-10-21,ATL,DAL,0.5129,-4000.0,1400.0,False,,,,0.0,,1,,
2021-10-21,MIA,MIL,0.6339,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-22,HOU,OKC,0.5036,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-22,CLE,CHA,0.2398,1600.0,-5000.0,False,,,,0.0,,0,,
2021-10-22,DEN,SAS,0.6532,-1050.0,600.0,True,SAS,21.15,600.0,3.0,1.4277,1,0.0,-1.0
2021-10-22,PHI,BKN,0.5193,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-22,WAS,IND,0.6985,-150.0,120.0,False,,,,0.0,,1,,
2021-10-22,ORL,NYK,0.1947,1500.0,-4500.0,False,,,,0.0,,0,,
2021-10-22,SAC,UTA,0.322,1600.0,-5000.0,False,,,,0.0,,0,,
2021-10-22,LAL,PHX,0.2971,1500.0,-4500.0,False,,,,0.0,,0,,
2021-10-22,BOS,TOR,0.5486,1500.0,-4500.0,False,,,,0.0,,0,,
2021-10-22,CHI,NOP,0.5723,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-23,IND,MIA,0.4778,-5000.0,1600.0,False,,,,0.0,,1,,
2021-10-23,CHI,DET,0.8776,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-23,MIN,NOP,0.7875,-5000.0,1600.0,False,,,,0.0,,1,,
2021-10-23,POR,PHX,0.5699,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-23,LAC,MEM,0.5554,210.0,-280.0,True,LAC,25.09,210.0,3.0,0.7216,0,0.0,-1.0
2021-10-23,SAS,MIL,0.3454,215.0,-265.0,False,,,,0.0,,0,,
2021-10-23,TOR,DAL,0.3339,1600.0,-5000.0,False,,,,0.0,,0,,
2021-10-23,CLE,ATL,0.2178,-950.0,550.0,False,,,,0.0,,1,,
2021-10-24,BKN,CHA,0.6649,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-24,OKC,PHI,0.1788,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-24,SAC,GSW,0.4653,1100.0,-2800.0,False,,,,0.0,,0,,
2021-10-24,NYK,ORL,0.769,2000.0,-7500.0,False,,,,0.0,,0,,
2021-10-24,HOU,BOS,0.299,1600.0,-5000.0,False,,,,0.0,,0,,
2021-10-24,LAL,MEM,0.5197,-950.0,550.0,False,,,,0.0,,1,,
2021-10-25,TOR,CHI,0.3603,900.0,-2000.0,True,TOR,26.53,900.0,3.0,2.6031,0,0.0,-1.0
2021-10-25,MIN,NOP,0.6106,1600.0,-5000.0,False,,,,0.0,,0,,
2021-10-25,ATL,DET,0.8526,-5000.0,1600.0,False,,,,0.0,,1,,
2021-10-25,MIA,ORL,0.9529,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-25,LAC,POR,0.5481,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-25,BKN,WAS,0.568,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-25,DEN,CLE,0.8373,1100.0,-2800.0,False,,,,0.0,,0,,
2021-10-25,IND,MIL,0.4654,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-25,CHA,BOS,0.4979,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-26,DAL,HOU,0.7874,-3500.0,1300.0,False,,,,0.0,,1,,
2021-10-26,SAS,LAL,0.4652,270.0,-385.0,True,SAS,21.12,270.0,3.0,0.7212,0,0.0,-1.0
2021-10-26,OKC,GSW,0.2487,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-26,UTA,DEN,0.7741,-3500.0,1300.0,False,,,,0.0,,1,,
2021-10-26,NYK,PHI,0.5639,-5501.0,1700.0,False,,,,0.0,,1,,
2021-10-27,BKN,MIA,0.4964,1300.0,-3500.0,False,,,,0.0,,0,,
2021-10-27,POR,MEM,0.5506,-4500.0,1500.0,False,,,,0.0,,1,,
2021-10-27,MIL,MIN,0.6431,400.0,-625.0,False,,,,0.0,,0,,
2021-10-27,OKC,LAL,0.3526,-825.0,500.0,False,,,,0.0,,1,,
2021-10-27,BOS,WAS,0.4372,900.0,-2000.0,False,,,,0.0,,0,,
